Number of layers,Size of dense layer 1,Size of dense layer 2,Learning rate,Regularization value,Validation accuracy
0,512,256,0.02,0.0175,0.08800287356321838
0,512,256,0.02,0.0175,0.11637931034482758
0,512,256,0.02,0.0175,0.1400862068965517
0,512,256,0.02,0.0175,0.16451149425287356
0,512,256,0.02,0.0175,0.16756465517241378
0,512,256,0.02,0.0175,0.17941810344827586
0,512,256,0.02,0.0175,0.16810344827586207
0,512,256,0.02,0.0175,0.18085488505747127
0,512,256,0.02,0.0175,0.19127155172413793
0,512,256,0.02,0.0175,0.18372844827586207
0,512,256,0.02,0.0175,0.19270833333333334
0,512,256,0.02,0.0175,0.19342672413793102
0,512,256,0.02,0.0175,0.1846264367816092
0,512,256,0.02,0.0175,0.19558189655172414
0,512,256,0.02,0.0175,0.19486350574712644
0,512,256,0.02,0.0175,0.19181034482758622
0,512,256,0.02,0.0175,0.2088721264367816
0,512,256,0.02,0.0175,0.20617816091954022
0,512,256,0.02,0.0175,0.19989224137931033
0,512,256,0.02,0.0175,0.20510057471264367
0,512,256,0.02,0.0175,0.20581896551724138
0,512,256,0.02,0.0175,0.20420258620689655
0,512,256,0.02,0.0175,0.21264367816091953
0,512,256,0.02,0.0175,0.20079022988505746
0,512,256,0.02,0.0175,0.20581896551724138
0,512,256,0.02,0.0175,0.2059985632183908
0,512,256,0.02,0.0175,0.2065373563218391
0,512,256,0.02,0.0175,0.2151580459770115
0,512,256,0.02,0.0175,0.2182112068965517
0,512,256,0.02,0.0175,0.21030890804597702
0,512,256,0.02,0.0175,0.2101293103448276
0,512,256,0.02,0.0175,0.2153376436781609
0,512,256,0.02,0.0175,0.21048850574712644
0,512,256,0.02,0.0175,0.20474137931034483
0,512,256,0.02,0.0175,0.21731321839080459
0,512,256,0.02,0.0175,0.21408045977011494
0,512,256,0.02,0.015000000000000001,0.20474137931034483
0,512,256,0.02,0.015000000000000001,0.2158764367816092
0,512,256,0.02,0.015000000000000001,0.16936063218390804
0,512,256,0.02,0.0125,0.1769037356321839
0,512,256,0.02,0.0125,0.1810344827586207
0,512,256,0.02,0.0125,0.15858477011494254
0,512,256,0.0175,0.0175,0.17798132183908047
0,512,256,0.0175,0.0175,0.1442169540229885
0,512,256,0.0175,0.0175,0.16181752873563218
0,512,256,0.0175,0.0175,0.1434985632183908
0,512,256,0.0175,0.015000000000000001,0.16648706896551724
0,512,256,0.0175,0.015000000000000001,0.1697198275862069
0,512,256,0.0175,0.015000000000000001,0.1769037356321839
0,512,256,0.0175,0.015000000000000001,0.17995689655172414
0,512,256,0.0175,0.015000000000000001,0.17420977011494254
0,512,256,0.0175,0.0125,0.18031609195402298
0,512,256,0.0175,0.0125,0.17600574712643677
0,512,256,0.0175,0.0125,0.18211206896551724
0,512,256,0.0175,0.0125,0.16379310344827586
0,512,256,0.015,0.0175,0.15589080459770116
0,512,256,0.015,0.0175,0.16343390804597702
0,512,256,0.015,0.0175,0.15032327586206898
0,512,256,0.015,0.015000000000000001,0.17025862068965517
0,512,256,0.015,0.015000000000000001,0.16774425287356323
0,512,256,0.015,0.015000000000000001,0.1512212643678161
0,512,256,0.015,0.0125,0.1754669540229885
0,512,256,0.015,0.0125,0.17708333333333334
0,512,256,0.015,0.0125,0.17564655172413793
0,512,256,0.0125,0.0175,0.16864224137931033
0,512,256,0.0125,0.0175,0.15768678160919541
0,512,256,0.0125,0.0175,0.16056034482758622
0,512,256,0.0125,0.0175,0.15427442528735633
0,512,256,0.0125,0.015000000000000001,0.17456896551724138
0,512,256,0.0125,0.015000000000000001,0.14942528735632185
0,512,256,0.0125,0.015000000000000001,0.16109913793103448
0,512,256,0.0125,0.015000000000000001,0.17367097701149425
0,512,256,0.0125,0.015000000000000001,0.15930316091954022
0,512,256,0.0125,0.0125,0.17438936781609196
0,512,256,0.0125,0.0125,0.16666666666666666
0,512,256,0.0125,0.0125,0.18229166666666666
0,512,256,0.0125,0.0125,0.1776221264367816
0,512,256,0.01,0.0175,0.17708333333333334
0,512,256,0.01,0.0175,0.18139367816091953
0,512,256,0.01,0.0175,0.17043821839080459
0,512,256,0.01,0.015000000000000001,0.17941810344827586
0,512,256,0.01,0.015000000000000001,0.17798132183908047
0,512,256,0.01,0.015000000000000001,0.16954022988505746
0,512,256,0.01,0.0125,0.17007902298850575
0,512,256,0.01,0.0125,0.19414511494252873
0,512,256,0.01,0.0125,0.1713362068965517
0,512,256,0.0075,0.0175,0.18229166666666666
0,512,256,0.0075,0.0175,0.17726293103448276
0,512,256,0.0075,0.0175,0.18714080459770116
0,512,256,0.0075,0.0175,0.1754669540229885
0,512,256,0.0075,0.015000000000000001,0.17043821839080459
0,512,256,0.0075,0.015000000000000001,0.1788793103448276
0,512,256,0.0075,0.015000000000000001,0.1839080459770115
0,512,256,0.0075,0.015000000000000001,0.1839080459770115
0,512,256,0.0075,0.015000000000000001,0.16648706896551724
0,512,256,0.0075,0.0125,0.1781609195402299
0,512,256,0.0075,0.0125,0.17349137931034483
0,512,256,0.0075,0.0125,0.1724137931034483
0,512,256,0.005000000000000001,0.0175,0.1846264367816092
0,512,256,0.005000000000000001,0.0175,0.17977729885057472
0,512,256,0.005000000000000001,0.0175,0.19127155172413793
0,512,256,0.005000000000000001,0.0175,0.17744252873563218
0,512,256,0.005000000000000001,0.015000000000000001,0.18336925287356323
0,512,256,0.005000000000000001,0.015000000000000001,0.18031609195402298
0,512,256,0.005000000000000001,0.015000000000000001,0.18660201149425287
0,512,256,0.005000000000000001,0.015000000000000001,0.16630747126436782
0,512,256,0.005000000000000001,0.0125,0.18588362068965517
0,512,256,0.005000000000000001,0.0125,0.18480603448275862
0,512,256,0.005000000000000001,0.0125,0.18318965517241378
1,512,256,0.02,0.0175,0.13451867816091953
1,512,256,0.02,0.0175,0.13667385057471265
1,512,256,0.02,0.0175,0.1505028735632184
1,512,256,0.02,0.0175,0.17349137931034483
1,512,256,0.02,0.0175,0.17672413793103448
1,512,256,0.02,0.0175,0.17079741379310345
1,512,256,0.02,0.0175,0.16936063218390804
1,512,256,0.02,0.0175,0.18516522988505746
1,512,256,0.02,0.0175,0.17744252873563218
1,512,256,0.02,0.015000000000000001,0.1980962643678161
1,512,256,0.02,0.015000000000000001,0.19701867816091953
1,512,256,0.02,0.015000000000000001,0.18983477011494254
1,512,256,0.02,0.0125,0.19270833333333334
1,512,256,0.02,0.0125,0.20851293103448276
1,512,256,0.02,0.0125,0.19917385057471265
1,512,256,0.0175,0.0175,0.20420258620689655
1,512,256,0.0175,0.0175,0.19306752873563218
1,512,256,0.0175,0.0175,0.20420258620689655
1,512,256,0.0175,0.0175,0.2067169540229885
1,512,256,0.0175,0.0175,0.18660201149425287
1,512,256,0.0175,0.015000000000000001,0.20743534482758622
1,512,256,0.0175,0.015000000000000001,0.20061063218390804
1,512,256,0.0175,0.015000000000000001,0.2052801724137931
1,512,256,0.0175,0.015000000000000001,0.20797413793103448
1,512,256,0.0175,0.015000000000000001,0.20474137931034483
1,512,256,0.0175,0.0125,0.19432471264367815
1,512,256,0.0175,0.0125,0.20761494252873564
1,512,256,0.0175,0.0125,0.21749281609195403
1,512,256,0.0175,0.0125,0.21390086206896552
1,512,256,0.015,0.0175,0.2067169540229885
1,512,256,0.015,0.0175,0.21120689655172414
1,512,256,0.015,0.0175,0.2117456896551724
1,512,256,0.015,0.0175,0.21282327586206898
1,512,256,0.015,0.0175,0.2052801724137931
1,512,256,0.015,0.015000000000000001,0.203125
1,512,256,0.015,0.015000000000000001,0.21354166666666666
1,512,256,0.015,0.015000000000000001,0.21120689655172414
1,512,256,0.015,0.0125,0.2081537356321839
1,512,256,0.015,0.0125,0.2165948275862069
1,512,256,0.015,0.0125,0.2117456896551724
1,512,256,0.0125,0.0175,0.22144396551724138
1,512,256,0.0125,0.0175,0.2122844827586207
1,512,256,0.0125,0.0175,0.21066810344827586
1,512,256,0.0125,0.0175,0.21839080459770116
1,512,256,0.0125,0.0175,0.2122844827586207
1,512,256,0.0125,0.0175,0.2067169540229885
1,512,256,0.0125,0.0175,0.2182112068965517
1,512,256,0.0125,0.0175,0.22180316091954022
1,512,256,0.0125,0.0175,0.20905172413793102
1,512,256,0.0125,0.0175,0.2151580459770115
1,512,256,0.0125,0.0175,0.22431752873563218
1,512,256,0.0125,0.0175,0.21479885057471265
1,512,256,0.0125,0.0175,0.2153376436781609
1,512,256,0.0125,0.0175,0.20438218390804597
1,512,256,0.0125,0.0175,0.2309626436781609
1,512,256,0.0125,0.0175,0.21461925287356323
1,512,256,0.0125,0.0175,0.20222701149425287
1,512,256,0.0125,0.0175,0.22180316091954022
1,512,256,0.0125,0.0175,0.21551724137931033
1,512,256,0.0125,0.0175,0.20330459770114942
1,512,256,0.0125,0.0175,0.20420258620689655
1,512,256,0.0125,0.0175,0.22306034482758622
1,512,256,0.0125,0.0175,0.21138649425287356
1,512,256,0.0125,0.015000000000000001,0.21749281609195403
1,512,256,0.0125,0.015000000000000001,0.22036637931034483
1,512,256,0.0125,0.015000000000000001,0.2165948275862069
1,512,256,0.0125,0.0125,0.2237787356321839
1,512,256,0.0125,0.0125,0.21982758620689655
1,512,256,0.0125,0.0125,0.2257543103448276
1,512,256,0.0125,0.0125,0.22306034482758622
1,512,256,0.01,0.0175,0.22270114942528735
1,512,256,0.01,0.0175,0.22539511494252873
1,512,256,0.01,0.0175,0.2216235632183908
1,512,256,0.01,0.015000000000000001,0.21641522988505746
1,512,256,0.01,0.015000000000000001,0.22270114942528735
1,512,256,0.01,0.015000000000000001,0.22880747126436782
1,512,256,0.01,0.015000000000000001,0.22898706896551724
1,512,256,0.01,0.015000000000000001,0.2293462643678161
1,512,256,0.01,0.015000000000000001,0.2273706896551724
1,512,256,0.01,0.0125,0.22611350574712644
1,512,256,0.01,0.0125,0.21623563218390804
1,512,256,0.01,0.0125,0.21569683908045978
1,512,256,0.0075,0.0175,0.2153376436781609
1,512,256,0.0075,0.0175,0.21461925287356323
1,512,256,0.0075,0.0175,0.2279094827586207
1,512,256,0.0075,0.0175,0.22880747126436782
1,512,256,0.0075,0.0175,0.2209051724137931
1,512,256,0.0075,0.015000000000000001,0.22252155172413793
1,512,256,0.0075,0.015000000000000001,0.21785201149425287
1,512,256,0.0075,0.015000000000000001,0.2307830459770115
1,512,256,0.0075,0.015000000000000001,0.21461925287356323
1,512,256,0.0075,0.0125,0.22898706896551724
1,512,256,0.0075,0.0125,0.2315014367816092
1,512,256,0.0075,0.0125,0.22198275862068967
1,512,256,0.0075,0.0125,0.2286278735632184
1,512,256,0.0075,0.0125,0.22126436781609196
1,512,256,0.0075,0.0125,0.22772988505747127
1,512,256,0.0075,0.0125,0.21443965517241378
1,512,256,0.0075,0.0125,0.22341954022988506
1,512,256,0.0075,0.0125,0.22198275862068967
1,512,256,0.0075,0.010000000000000002,0.22198275862068967
1,512,256,0.0075,0.010000000000000002,0.22054597701149425
1,512,256,0.0075,0.010000000000000002,0.21713362068965517
1,512,256,0.0075,0.0075000000000000015,0.23239942528735633
1,512,256,0.0075,0.0075000000000000015,0.22826867816091953
1,512,256,0.0075,0.0075000000000000015,0.22180316091954022
1,512,256,0.0075,0.0075000000000000015,0.21964798850574713
1,512,256,0.0075,0.0075000000000000015,0.22359913793103448
1,512,256,0.0075,0.0075000000000000015,0.22180316091954022
1,512,256,0.0075,0.0075000000000000015,0.2250359195402299
1,512,256,0.0075,0.0075000000000000015,0.22755028735632185
1,512,256,0.0075,0.0075000000000000015,0.21875
1,512,256,0.0075,0.005000000000000001,0.2137212643678161
1,512,256,0.0075,0.005000000000000001,0.22557471264367815
1,512,256,0.0075,0.005000000000000001,0.22306034482758622
1,512,256,0.0075,0.0025000000000000022,0.21605603448275862
1,512,256,0.0075,0.0025000000000000022,0.2250359195402299
1,512,256,0.0075,0.0025000000000000022,0.21605603448275862
1,512,256,0.005000000000000001,0.0175,0.22036637931034483
1,512,256,0.005000000000000001,0.0175,0.23204022988505746
1,512,256,0.005000000000000001,0.0175,0.22539511494252873
1,512,256,0.005000000000000001,0.015000000000000001,0.2279094827586207
1,512,256,0.005000000000000001,0.015000000000000001,0.2237787356321839
1,512,256,0.005000000000000001,0.015000000000000001,0.22072557471264367
1,512,256,0.005000000000000001,0.0125,0.22054597701149425
1,512,256,0.005000000000000001,0.0125,0.2192887931034483
1,512,256,0.005000000000000001,0.0125,0.2273706896551724
1,512,256,0.005000000000000001,0.0125,0.22072557471264367
1,384,256,0.02,0.0175,0.12751436781609196
1,384,256,0.02,0.0175,0.1307471264367816
1,384,256,0.02,0.0175,0.14852729885057472
1,384,256,0.02,0.0175,0.16163793103448276
1,384,256,0.02,0.0175,0.15894396551724138
1,384,256,0.02,0.0175,0.17007902298850575
1,384,256,0.02,0.0175,0.16702586206896552
1,384,256,0.02,0.0175,0.1569683908045977
1,384,256,0.02,0.015000000000000001,0.1752873563218391
1,384,256,0.02,0.015000000000000001,0.1776221264367816
1,384,256,0.02,0.015000000000000001,0.1910919540229885
1,384,256,0.02,0.015000000000000001,0.18426724137931033
1,384,256,0.02,0.0125,0.1997126436781609
1,384,256,0.02,0.0125,0.19594109195402298
1,384,256,0.02,0.0125,0.19719827586206898
1,384,256,0.02,0.0125,0.19647988505747127
1,384,256,0.0175,0.0175,0.2036637931034483
1,384,256,0.0175,0.0175,0.20061063218390804
1,384,256,0.0175,0.0175,0.19432471264367815
1,384,256,0.0175,0.015000000000000001,0.2038433908045977
1,384,256,0.0175,0.015000000000000001,0.21426005747126436
1,384,256,0.0175,0.015000000000000001,0.19055316091954022
1,384,256,0.0175,0.0125,0.20132902298850575
1,384,256,0.0175,0.0125,0.2009698275862069
1,384,256,0.0175,0.0125,0.20545977011494254
1,384,256,0.0175,0.0125,0.20204741379310345
1,384,256,0.015,0.0175,0.20545977011494254
1,384,256,0.015,0.0175,0.2101293103448276
1,384,256,0.015,0.0175,0.19719827586206898
1,384,256,0.015,0.015000000000000001,0.2088721264367816
1,384,256,0.015,0.015000000000000001,0.203125
1,384,256,0.015,0.015000000000000001,0.2081537356321839
1,384,256,0.015,0.015000000000000001,0.20977011494252873
